Offload Ratio (%),Total DRAM (%),DRAM Read (%),DRAM Write (%),Effective Memory BW (GB/s),Effective Tokens/s,SM Active (%),Tensor Active (%),Avg Step Time (ms),Paged Attention Runtime (ms),Peak GPU Mem (Alloc GB),Total Memory IO (GB),Weights Loaded (GB),KV Cache Read (GB),KV Cache Written (GB)
0,57.02095516880959,54.08929733059969,2.931657838209903,2100.33,16715.0,91.843721057849,36.46466791421062,46.0066,0.668793,89.76,89.9927,16.0,73.6172,0.375488
1,57.26257984089038,53.94389027531838,3.3186895655719946,2094.98,16672.44,91.79366832815096,36.34109770834401,46.124,0.672982,89.13,89.9927,16.0,73.6172,0.375488
2,57.526904362728786,53.828729179593644,3.698175183135136,2089.45,16628.41,91.7709815614775,36.21785324192562,46.2461,0.676654,88.47,89.9927,16.0,73.6172,0.375488
3,57.73081771886884,53.65077169394854,4.080046024920284,2081.87,16568.11,91.68830145227801,36.11804692689068,46.4145,0.6793640000000001,87.8,89.9927,16.0,73.6172,0.375488
4,57.86539376957885,53.416480024924624,4.448913744654229,2077.46,16533.01,91.53363013768916,35.92612744984226,46.513,0.682717,87.13,89.9927,16.0,73.6172,0.375488
5,58.04962503931139,53.23438835031333,4.815236688998061,2070.28,16475.87,91.47672272462555,35.83986770836856,46.6743,0.6863790000000001,86.46,89.9927,16.0,73.6172,0.375488
6,58.33835098129976,53.144649480324915,5.193701500974843,2064.66,16431.16,91.6005000855835,35.76878089579372,46.8013,0.689763,85.8,89.9927,16.0,73.6172,0.375488
7,58.48196713314639,52.92455513367376,5.557411999472611,2059.03,16386.34,91.4225866365658,35.60644249777848,46.9293,0.692937,85.13,89.9927,16.0,73.6172,0.375488
8,58.773718504860454,52.836021302723424,5.937697202137026,2053.78,16344.56,91.48572268734641,35.55953200949977,47.0493,0.695499,84.46,89.9927,16.0,73.6172,0.375488
9,58.867535610463364,52.57930781475449,6.288227795708866,2046.69,16288.12,91.30464242825434,35.42371040004534,47.2123,0.699837,83.8,89.9927,16.0,73.6172,0.375488
10,59.1396858081489,52.48172114182798,6.657964666320931,2042.09,16251.52,91.28717436231983,35.26890136771508,47.3186,0.702809,83.13,89.9927,16.0,73.6172,0.375488
11,59.43606513455444,52.402200817013835,7.0338643175406,2035.22,16196.86,91.3395792253272,35.19827716953089,47.4783,0.706643,82.46,89.9927,16.0,73.6172,0.375488
12,59.589178363856014,52.205699894413854,7.38347846944215,2029.44,16150.87,91.33583645760602,35.14007756053147,47.6135,0.7097960000000001,81.79,89.9927,16.0,73.6172,0.375488
13,59.81781532581932,52.07841456424835,7.739400761570948,2023.12,16100.58,91.25618859207407,34.992896400779046,47.7623,0.7124510000000001,81.13,89.9927,16.0,73.6172,0.375488
14,59.97421324559924,51.88632656422785,8.08788668137139,2018.16,16061.12,91.26313432170362,34.93545667516528,47.8796,0.713186,80.46,89.9927,16.0,73.6172,0.375488
15,58.270972710859084,50.093817754324974,8.1771549565341,2014.05,16028.39,87.49659497952776,33.23819440863562,47.9774,0.714189,79.79,89.9927,16.0,73.6172,0.375488
16,55.97701585802439,47.814522782605025,8.162493075419373,2006.52,15968.44,82.93553454599038,31.273234417838044,48.1575,0.713448,79.12,89.9927,16.0,73.6172,0.375488
17,54.245240484079496,46.04217373855448,8.203066745525028,1938.67,15428.5,79.70969222706579,29.971034178773543,49.8428,0.713019,78.46,89.9927,16.0,73.6172,0.375488
18,52.413438776699564,44.19819862936285,8.215240147336708,1862.7,14823.91,76.21869924563065,28.551000224060395,51.8756,0.713033,77.79,89.9927,16.0,73.6172,0.375488
19,50.678120161805964,42.46193929118555,8.21618087062041,1779.35,14160.58,73.12413877425445,27.352065735630113,54.3057,0.7119289999999999,77.12,89.9927,16.0,73.6172,0.375488
20,49.20518624141153,40.978930206066124,8.226256035345404,1709.26,13602.8,70.4859645095073,26.316579332861643,56.5325,0.712843,76.45,89.9927,16.0,73.6172,0.375488
21,48.08091476542939,39.802471373552244,8.278443391877142,1649.62,13128.16,68.33529200826037,25.44685662351615,58.5764,0.712278,75.79,89.9927,16.0,73.6172,0.375488
22,47.08321233740588,38.68592160701185,8.397290730394042,1590.41,12656.96,66.46052979392897,24.747684548901017,60.7571,0.7125710000000001,75.12,89.9927,16.0,73.6172,0.375488
23,45.39125953175581,37.059466888031594,8.331792643724214,1537.66,12237.13,63.46313630963612,23.598415446244065,62.8415,0.71231,74.45,89.9927,16.0,73.6172,0.375488
24,44.28003217650973,35.927204178355375,8.352827998154362,1481.86,11793.09,61.478326172432936,22.849162494380256,65.2077,0.712795,73.78,89.9927,16.0,73.6172,0.375488
25,43.20736132639433,34.842319916747904,8.365041409646432,1433.93,11411.65,59.53508887303003,22.084848868841483,67.3873,0.713226,73.11,89.9927,16.0,73.6172,0.375488
26,42.55329341509338,34.11213654361529,8.441156871478087,1392.65,11083.14,58.29774812350204,21.602078187206274,69.3847,0.713062,72.45,89.9927,16.0,73.6172,0.375488
27,41.141196763405105,32.7779306940084,8.363266069396706,1348.97,10735.48,55.89068507229928,20.693357396796408,71.6317,0.71366,71.79,89.9927,16.0,73.6172,0.375488
28,40.16119613577311,31.82078313831554,8.340412997457571,1305.15,10386.77,54.195570885374174,20.068316796536827,74.0365,0.7126119999999999,71.12,89.9927,16.0,73.6172,0.375488
29,39.44180933104171,31.061703547494258,8.380105783547464,1268.8,10097.46,52.90240582971396,19.57281772824055,76.1578,0.712637,70.45,89.9927,16.0,73.6172,0.375488
30,38.656062634053626,30.270212280595725,8.385850353457904,1232.44,9808.14,51.49449939637274,19.04093119165088,78.4043,0.713019,69.78,89.9927,16.0,73.6172,0.375488
31,37.93614248483634,29.51474095224546,8.421401532590885,1199.74,9547.89,50.20171088914344,18.56966187320295,80.5413,0.712904,69.12,89.9927,16.0,73.6172,0.375488
32,37.230654297955226,28.80578867571923,8.424865622235995,1165.0,9271.38,49.005518622495345,18.136657466123673,82.9434,0.713114,68.45,89.9927,16.0,73.6172,0.375488
33,36.44797661569913,28.030673663567203,8.417302952131928,1133.24,9018.61,47.59603772040766,17.583658193457346,85.2681,0.712005,67.78,89.9927,16.0,73.6172,0.375488
34,35.772677915669206,27.3624076293822,8.410270286287002,1107.17,8811.19,46.42933033862803,17.167375712530774,87.2753,0.7128410000000001,67.12,89.9927,16.0,73.6172,0.375488
35,35.19986283723086,26.766879604936076,8.43298323229479,1079.47,8590.75,45.41243158323235,16.776481431640278,89.5149,0.714726,66.45,89.9927,16.0,73.6172,0.375488
36,34.6215386588032,26.174530079095284,8.44700857970791,1051.06,8364.65,44.40116200885491,16.41461724106772,91.9345,0.713284,65.78,89.9927,16.0,73.6172,0.375488
37,34.17432424516682,25.692618343147824,8.481705902019,1027.74,8179.06,43.58748533777557,16.080962732593562,94.0206,0.713234,65.11,89.9927,16.0,73.6172,0.375488
38,33.54174420501358,25.07552329662789,8.466220908385685,1005.18,7999.51,42.47220194763142,15.680100333317869,96.1308,0.712769,64.45,89.9927,16.0,73.6172,0.375488
39,32.961760849920424,24.501397471596093,8.460363378324331,980.35,7801.93,41.49310356323171,15.315477603062746,98.5653,0.7133590000000001,63.78,89.9927,16.0,73.6172,0.375488
40,32.438898657576914,23.987703544412998,8.451195113163909,959.64,7637.11,40.562738659806676,14.973006746969206,100.6925,0.714539,63.11,89.9927,16.0,73.6172,0.375488
41,31.948183613874185,23.48536164121394,8.46282197266025,939.14,7473.98,39.73862508642165,14.662936748617582,102.8903,0.712643,62.44,89.9927,16.0,73.6172,0.375488
42,31.58628950912129,23.09941754300767,8.486871966113611,918.74,7311.61,39.032932808122744,14.398835934421719,105.1752,0.712778,61.78,89.9927,16.0,73.6172,0.375488
43,30.967648877077963,22.51518900206694,8.452459875011028,900.8,7168.85,38.05992296918014,14.046378024360095,107.2697,0.713585,61.11,89.9927,16.0,73.6172,0.375488
44,30.904133447831065,22.354469412357552,8.549664035473505,890.25,7084.88,37.78008809284393,13.937792394057592,108.541,0.7129030000000001,60.44,89.9927,16.0,73.6172,0.375488
45,30.58252308867619,21.993959809251983,8.5885632794242,869.96,6923.4,37.18358317029893,13.729955064501983,111.0726,0.713886,59.77,89.9927,16.0,73.6172,0.375488
46,30.132782292502963,21.55980973257085,8.572972559932111,855.67,6809.65,36.44058861010598,13.46523755893804,112.928,0.714178,59.11,89.9927,16.0,73.6172,0.375488
47,29.82190839112158,21.221690461222956,8.600217929898625,837.32,6663.62,35.86701968422625,13.242271828545652,115.4027,0.713318,58.44,89.9927,16.0,73.6172,0.375488
48,29.490636241215494,20.8780885374797,8.612547703735794,823.62,6554.62,35.282165534834064,13.02784204497658,117.3218,0.7129589999999999,57.77,89.9927,16.0,73.6172,0.375488
49,28.96540686953236,20.397232202541378,8.568174666990982,808.44,6433.8,34.41338926875258,12.702940931427651,119.525,0.712902,57.11,89.9927,16.0,73.6172,0.375488
50,28.686240132184988,20.08202594502652,8.604214187158474,793.2,6312.51,33.90716533225636,12.51752281799981,121.8217,0.713241,56.43,89.9927,16.0,73.6172,0.375488
